Scale Name,Scale,Matches,Tolerance,Euc Mean,Euc Std,Euc Min,Euc Max,Texture
3x2y2z,"3x,2x,2x",12,3,0.0,0.0,0.0,0.0,colonies
original,"1x,1x,1x",87,3,0.27626530288042106,1.0053029414875496,0.0,4.47213595499958,linear
2x1y1z,"2x,1x,1x",86,3,0.4214220008635033,1.2824296157725084,0.0,6.0,linear
1x2y1z,"1x,2x,1x",74,3,1.3326777901683438,2.9592741070954127,0.0,12.165525060596439,linear
1x1y2z,"1x,1x,2x",90,3,0.2238015069303439,0.7264231984686923,0.0,2.8284271247461903,linear
2x2y1z,"2x,2x,1x",79,3,1.898201094199184,5.391057342734139,0.0,32.31098884280702,linear
1x2y2z,"1x,2x,2x",83,3,0.49982001761859257,1.5257646370805453,0.0,7.211102550927978,linear
2x2y2z,"2x,2x,2x",71,3,2.5698363902208827,5.276398901897101,0.0,18.867962264113206,linear
3x1y1z,"3x,1x,1x",67,3,6.895132568044505,13.774833420335105,0.0,62.03224967708329,linear
3x2y1z,"3x,2x,1x",77,3,1.8514543818812876,4.584382304766589,0.0,18.0,linear
3x1y2z,"3x,1x,2x",75,3,5.903731705825634,14.59038331501138,0.0,72.0,linear
3x2y2z,"3x,2x,2x",72,3,4.2594313759986004,10.939811084995064,0.0,55.60575509783138,linear
original,"1x,1x,1x",67,3,3.724060206790697,7.204800715771104,0.0,25.612496949731394,olympic
2x1y1z,"2x,1x,1x",61,3,4.501794943296145,7.471461113959046,0.0,34.058772731852805,olympic
1x2y1z,"1x,2x,1x",82,3,0.6556082314575182,1.6238363567526783,0.0,7.211102550927978,olympic
1x1y2z,"1x,1x,2x",79,3,2.0560688479604425,6.452848019217042,0.0,30.463092423455635,olympic
2x2y1z,"2x,2x,1x",82,3,0.6393755914598888,1.9413852350378826,0.0,10.198039027185569,olympic
1x2y2z,"1x,2x,2x",83,3,0.5594185829632685,1.4807246045534175,0.0,6.324555320336759,olympic
2x2y2z,"2x,2x,2x",77,3,1.358325440328001,2.8634588250230153,0.0,12.806248474865697,olympic
3x1y1z,"3x,1x,1x",25,3,10.367386390252138,10.786079994948906,0.0,38.0,olympic
3x2y1z,"3x,2x,1x",68,3,4.600874240637262,9.422712548804407,0.0,42.42640687119285,olympic
3x1y2z,"3x,1x,2x",54,3,7.23909356062199,12.285310649466481,0.0,76.10519036176179,olympic
3x2y2z,"3x,2x,2x",62,3,10.584214461135307,19.458701675789186,0.0,86.64871608973787,olympic
original,"1x,1x,1x",29,3,11.242583978350625,14.38841644212302,0.0,59.464274989274024,oval
2x1y1z,"2x,1x,1x",52,3,7.924333081114804,13.934946106724896,0.0,66.2117814289874,oval
1x2y1z,"1x,2x,1x",21,3,22.52797408936881,28.59761732665959,0.0,138.13037319865606,oval
1x1y2z,"1x,1x,2x",26,3,9.844307411948176,8.209794314730017,0.0,31.11269837220809,oval
2x2y1z,"2x,2x,1x",15,3,34.999493966612796,43.11653304802039,0.0,145.98630072715727,oval
1x2y2z,"1x,2x,2x",9,3,21.977991323349332,32.60250685064474,2.0,130.38404810405297,oval
2x2y2z,"2x,2x,2x",15,3,21.919505393227674,21.135061837425944,0.0,85.27602242131137,oval
3x1y1z,"3x,1x,1x",55,3,4.595608060691585,6.341428852067953,0.0,25.298221281347036,oval
3x2y1z,"3x,2x,1x",18,3,28.154977789815813,36.31234107770892,0.0,136.01470508735443,oval
3x1y2z,"3x,1x,2x",36,3,9.0267840075708,10.638789270745553,0.0,50.99019513592785,oval
3x2y2z,"3x,2x,2x",6,3,11.856806414261587,8.145518705893364,2.0,36.76955262170047,oval
